300 1.55699	0.83649
567	0.14741	3.31879
568	0.14755	3.32629
569	0.14769	3.33379
570	0.14782	3.34128
571	0.14796	3.34878
572	0.14809	3.35628
573	0.14823	3.36378
574	0.14836	3.37128
575	0.1485	3.37878
576	0.14863	3.38628
577	0.14877	3.39378
578	0.14891	3.40128
579	0.14905	3.40873
580	0.14919	3.41617
581	0.14932	3.42361
582	0.14946	3.43106
583	0.1496	3.4385
584	0.14974	3.44594
585	0.14988	3.45339
586	0.15002	3.46083
587	0.15016	3.46827
588	0.1503	3.47572
589	0.15044	3.48316
590	0.15058	3.49061
591	0.15072	3.498
592	0.15086	3.50539
593	0.15101	3.51278
594	0.15115	3.52017
595	0.15129	3.52757
596	0.15143	3.53496
597	0.15158	3.54235
598	0.15172	3.54974
599	0.15186	3.55713
600	0.15201	3.56452
601	0.15215	3.57192
602	0.15229	3.57931
603	0.15244	3.58667
604	0.15258	3.59401
605	0.15273	3.60135
606	0.15288	3.6087
607	0.15302	3.61604
608	0.15317	3.62339
609	0.15331	3.63073
610	0.15346	3.63807
611	0.15361	3.64542
612	0.15375	3.65276
613	0.1539	3.66011
614	0.15404	3.66745
615	0.15419	3.67479
616	0.15434	3.68209
617	0.15449	3.68939
618	0.15464	3.69669
619	0.15479	3.70399
620	0.15494	3.71129
621	0.15509	3.71859
622	0.15524	3.72589
623	0.15539	3.73319
624	0.15554	3.74049
625	0.15569	3.74779
626	0.15584	3.75509
627	0.15599	3.76239
628	0.15614	3.76967
629	0.15629	3.77693
630	0.15645	3.78419
631	0.1566	3.79145
632	0.15675	3.79871
633	0.15691	3.80597
634	0.15706	3.81323
635	0.15721	3.82049
636	0.15736	3.82775
637	0.15752	3.83501
638	0.15767	3.84226
639	0.15782	3.84952
640	0.15798	3.85678
641	0.15813	3.86403
642	0.15829	3.87125
643	0.15845	3.87847
644	0.1586	3.88569
645	0.15876	3.89291
646	0.15892	3.90014
647	0.15907	3.90736
648	0.15923	3.91458
649	0.15939	3.9218
650	0.15954	3.92902
651	0.1597	3.93624
652	0.15986	3.94346
653	0.16001	3.95069
654	0.16017	3.95791
655	0.16033	3.96509
656	0.16049	3.97228
657	0.16065	3.97946
658	0.16081	3.98665
659	0.16097	3.99384
660	0.16113	4.00102
661	0.16129	4.00821
662	0.16145	4.0154
663	0.16161	4.02258
664	0.16177	4.02977
665	0.16193	4.03695
666	0.16209	4.04414
667	0.16225	4.05133
668	0.16242	4.0585
669	0.16258	4.06565
670	0.16274	4.07281
